253	📜	bar mitswa: zoon des gebods
254	📕	sefer Thora
255	⭕	saviv: rondom
256	🚪	petach: de ingang
257	⚖️	tsaddik; Melchi-sedek
258	✨	kiddoesj: heiliging
259	🥇	risjon; be-resjit: in het begin
260	🤝	re'a: je naaste
261	📈	harbe: veel, talrijk
262	🐑	ro'e: de herder
263	⬆️	roem: verheven zijn
264	🪄	sjevet: staf én stam
265	🫒	sjemen: olijfolie
266	❓	sja'al; Saul is de gevraagde
267	🤞	nisjba: een eed zweren
268	🛏️	sjachav: gaan liggen
269	⚖️	Sjoftim: Richteren
270	👄	safa: lip én taal
271	⏱️	az: toen, op dat moment
272	🐏	ajil: de ram
273	❗	ach: voorwaar, slechts
274	💎	emet; amen komt hiervan
275	➕	af: ook, zelfs
276	👑	Baäl: heer en eigenaar
277	💪	gibbor chajil: dappere held
278	🙌	halleluja: looft JHWH
279	🔥	werkwoord bij zevach
280	🧱	choma: de stadsmuur
281	🦉	chacham: de wijze
282	🦉	chochma: de wijsheid
283	💔	chalal: ontwijden, doorboren
284	⛺	chana; machane is kamp
285	📜	chok: vaste inzetting
286	🚱	tame: ritueel onrein
287	🍷	jajin: wijn
288	➡️	Ben-jamin: zoon van rechts
289	✅	jesj: er is
290	💪	koach: kracht
291	🪑	kisse: zetel, troon
292	🧥	kasa: toedekken
293	〰️	kemo: net als
294	1️⃣	levaddo: hij alleen
295	💀	mavet; muth is sterven
296	🔢	mispar: het aantal
297	⛺	misjkan; sjachan is wonen
298	⬆️	mi-ma'al: van boven
299	↔️	neged: er recht tegenover
300	👉	naga: aanraken, treffen
301	😴	Noach: rust en troost
302	🏃	noes: op de vlucht
303	🏞️	nachal: de wadi
304	🔗	nechosjet; Nechusjtan
305	🚶	nasa: verdertrekken
306	👑	nasi: de verhevene
307	🐎	soes: het paard
308	⛓️	avoda: dienst én arbeid
309	👥	eda: de gemeente
310	🌇	erev; Erev Sjabbat
311	🚫	pen: opdat niet
312	↩️	pana; panim is gezicht
313	🐂	par: de jonge stier
314	🔓	patach; petach is ingang
315	⚖️	tsedaka: gerechtigheid, liefdegave
316	🧭	tsafon: het noorden
317	👥	kibboets: verzameling
318	🪦	kever: het graf
319	📚	rov: de meerderheid
320	🏃	radaf: najagen
321	😊	Simchat Thora: vreugde
322	😠	sane: haten
323	🔗	korte vorm van asjer
324	➕	sje'erit: de rest
325	💔	sjavar: stukbreken
326	💥	sjachat: te gronde richten
327	⛺	Sjechina; misjkan is woning
328	8️⃣	sjemone: acht
329	☀️	Sjimsjon, Simson: zonnetje
330	2️⃣	sjeni, van sjnajim
331	💡	or; Uriël: mijn licht
332	👭	achot, vrouwelijk bij ach
333	👥	anachnoe: wij
334	😳	bosj: beschaamd staan
335	🤝	bitachon: vertrouwen
336	😢	bacha: huilen
337	1️⃣	bechor: de eerstgeborene
338	🚫	bilti: behalve, niet
339	📏	gadol: groot
340	💓	chai; l'chaim
341	💪	zeroa: de uitgestrekte arm
342	⛪	eloah, enkelvoud van elohim
343	🤝	amen: het staat vast
344	📏	orech: de lengte
345	⛰️	bama: de cultushoogte
346	🛡️	be'ad: ten behoeve van
347	🛟	go'el: de losser
348	🚶	ger: de vreemdeling
349	🚪	delet; dalet is de letter
350	🧠	da'at; ets ha-da'at
351	👀	hen: zie, kijk
352	🔄	hafach: omdraaien
353	🐺	chaja: het levende wild
354	🥩	chelev: het vet
355	🗡️	chalal: de gevallene
356	🫏	chamor: de ezel
357	📜	chukka, vrouwelijk bij chok
358	🔥	chara: van woede ontbranden
359	🧼	tahor: ritueel rein
360	🧼	werkwoord bij tahor
361	🚱	tame: tegendeel van tahor
362	👥	jachad: gezamenlijk
363	👶	jeled, van jalad
364	📎	ja'an: omdat, wegens
365	➕	jeter: wat overblijft
366	➕	werkwoord bij jeter
367	✡️	Jehoedi: uit Juda
368	🐑	keves: het lam
369	🙏	Jom Kipoer: Grote Verzoendag
370	👼	cherub, cherubijnen
371	🍇	kerem: de wijngaard
372	👕	lavasj: kleding aandoen
373	🎓	Talmoed: wat geleerd is
374	🏃	malat: zich redden
375	👑	malchoet, van melech
376	🔥	chema: gloeiende toorn
377	➗	chatsi: de helft
378	🤔	chasjav: denken, berekenen
379	🙌	Jehoeda, Juda: lofprijzing
380	👍	jatav; tov is goed
381	📏	jasjar; Jesjoeroen, de oprechte
382	⚖️	kaved; kavod is gewicht
383	🕊️	kanaf: vleugel én zoom
384	🪤	lachad: gevangen nemen
385	👅	lasjon: tong én taal
386	🌾	migrasj: de weidegrond
387	👑	mamlacha, van melech
388	📜	werkwoord bij navi
389	🏜️	Negev: het droge zuiden
390	➡️	nagasj: dichterbij komen
391	🏞️	nahar: de stroom
392	💗	Nechemja: JHWH troost
393	🏛️	ammoed: de pilaar
394	🌍	afar: stof en aarde
395	🦴	etsem: bot én zelf
396	👣	pa'am: schrede én keer
397	🍇	peri: de vrucht
398	⚖️	Melchi-sedek: koning der gerechtigheid
399	✨	kadosj kadosj kadosj
400	👥	kahal; kehilla is gemeente
401	🔥	ketoret: het reukoffer
402	🛞	rechev: de strijdwagen
403	☝️	rak: alleen maar
404	🔥	seraf, serafijnen: brandenden
405	🕯️	sabbat, van sjavat: ophouden
406	🎯	hisjlich: wegwerpen
407	🕊️	sjalem; sjalom is heelheid
408	🫗	sjafach: vergieten
409	🚫	sjeker: de leugen
410	🤢	to'eva: een gruwel
411	💬	wajjomer: en hij zei
412	👨‍👦	benee: de zonen van
413	🫱	lo: voor hem
414	🗣️	lemor: door te zeggen
415	📖	wajehie: en het gebeurde
416	👥	haam: het volk
417	🌊	mosje: door het water
418	☝️	hazzeh: déze hier
419	➕	wechol: en alles erbij
420	🫵	li: voor mij
421	🚶	lifnee: voor je uit
422	👀	hinneh: kijk daar!
423	📦	hevi: naar binnen brengen
424	👊	hikka: erop slaan
425	🛡️	sjamar: de wacht houden
426	↩️	heisjiv: terug laten komen
427	📣	higgid: het doorgeven
428	🚪	hotsi: naar buiten brengen
